ovallcon,count
INFECCIÓN RESPIRATORIA NO CONDENSANTE,150
PROBLEMA SOCIAL,149
DETERIORO ESTADO GENERAL,147
RAO,147
ANEMIA FERROPÉNICA,146
INSUFICIENCIA CARDIACA CRÓNICA DESCOMPENSADA,146
INSUFICIENCIA CARDIACA CONGESTIVA AGUDA,146
GONARTROSIS IZQUIERDA,145
DISFAGIA OROFARÍNGEA,145
DÉFICIT SEVERO DE VITAMINA D,144
FLEBOEXTRACCIÓN MID.,144
HIPERTENSION ARTERIAL,143
FLEBOEXTRACCIÓN MII.,142
SÍNDROME CONFUSIONAL AGUDO HIPOACTIVO,142
DEMENCIA AVANZADA,141
OBESIDAD,141
SINDROME CONFUSIONAL,141
DETERIORO GENERAL,140
INSUFICIENCIA RENAL CRONICA,140
ITU POR E. COLI,137
HIPOPOTASEMIA,137
HIPERCOLESTEROLEMIA,136
RABDOMIOLISIS,135
DISFAGIA,135
INSUFICIENCIA RESPIRATORIA PARCIAL CRÓNICA AGUDIZADA,135
ERC AGUDIZADA,135
HERNIA UMBILICAL.,134
ITU COMPLICADA,133
FA PERMANENTE,133
ANEMIA NORMOCITICA E HIPOCROMA,133
DESNUTRICIÓN PROTEICO-CALÓRICA,132
LUMBALGIA,131
ICC AGUDA,130
INSUFICIENCIA RESPIRATORIA AGUDA PARCIAL RESUELTA,130
OSTEOPOROSIS,130
EPOC REAGUDIZADO,129
SOBREDOSIFICACIÓN DE SINTROM,127
CAIDA CASUAL,124
FIBRILACIÓN AURICULAR PERMANENTE,123
DÉFICIT DE VITAMINA D,122
ENFERMEDAD DE ALZHEIMER,121
HEMORROIDES.,121
INFECCIÓN URINARIA,120
ENF DE ALZHEIMER,117
DEMENCIA,113
FIBRILACIÓN AURICULAR,112
HIPONATREMIA MODERADA,112
DOLOR ABDOMINAL A ESTUDIO,108
ANEMIA MULTIFACTORIAL,107
INFECCIÓN RESPIRATORIA.,107
COXARTROSIS IZDA.,106
DISFAGIA OROFARÍNGEA SEVERA A SÓLIDOS Y LÍQUIDOS,106
ITU PROBABLE,105
FRACASO RENAL AGUDO,105
ENFERMEDAD DE PARKINSON,104
DÉFICIT DE AC FÓLICO,103
INSUFICIENCIA RESPIRATORIA.,102
ANCIANO FRAGIL,102
ANEMIA LEVE N-N,101
DESNUTRICIÓN CALÓRICO-PROTEICA,101
DETERIORO COGNITIVO MODERADO,101
SUBOCLUSION INTESTINAL,101
CARDIOPATÍA HIPERTENSIVA,100
NEUMONÍA BASAL DERECHA,99
ANEMIA NORMOCÍTICA,98
LUMBALGIA AGUDA,98
DESNUTRICIÓN CALORICO PROTEICA,98
INFECCION DE VIAS URINARIAS,97
ESTREÑIMIENTO FUNCIONAL,97
ASMA BRONQUIAL,97
ARTRITIS REUMATOIDE,97
INSUFICIENCIA RESPIRATORIA CRONICA,97
ENFERMEDAD RENAL CRÓNICA G3B,96
ESTREÑIMIENTO CRÓNICO,94
INSUFICIENCIA RENAL CRONICA AGUDIZADA,93
DM II DESCOMPENSADA,93
HIPOPROTEINEMIA,93
DESHIDRATACION HIPERNATREMICA,93
DESNUTRICIÓN CALÓRICO PROTEICA,92
SOBREDOSIFICACION SINTROM,91
INSUFICIENCIA RESPIRATORIA PARCIAL CRÓNICA,91
ENFERMEDAD RENAL CRÓNICA REAGUDIZADA,91
ICTUS ISQUEMICO,91
BRONQUIECTASIAS,91
INSUFICIENCIA RENAL CRÓNICA,91
CANDIDIASIS ORAL,90
LUMBOCIATALGIA DERECHA,90
INSUFICIENCIA RENAL CRONICA REAGUDIZADA,90
DOLOR ABDOMINAL,89
RETENCION AGUDA DE ORINA,89
PORTADOR DE MARCAPASOS,88
LUMBOCIATALGIA,87
TCE LEVE,87
ESTREÑIMIENTO CRONICO,86
HIPERURICEMIA,86
TCE MODERADO,86
CRISIS HIPERTENSIVA,85
FA CRÓNICA,85
DIABETES  MELLITUS,85
MAL CONTROL DEL DOLOR,84
MUGUET ORAL,84
DEMENCIA VASCULAR,84
FA ACO,84
RETENCIÓN AGUDA DE ORINA,84
HIPERGLUCEMIA,84
NEUMONIA BASAL DERECHA,84
BRONCOSPASMO,84
DISFAGIA OROFARÍNGEA A LÍQUIDOS,83
DESHIDRATACION,83
ENFERMEDAD RENAL CRÓNICA AGUDIZADA,83
FA NO CONOCIDA,83
INSUFICIENCIA RENAL MODERADA,82
FIBRILACION AURICULAR ANTICOAGULADA,82
DESNUTRICION PROTEICA,81
HIPERPOTASEMIA,81
SEPSIS URINARIA,81
DEMENCIA SENIL,81
INFECCION URINARIA  POR E. COLI,80
SINUS PILONIDAL.,80
DESNUTRICIÓN PROTEICO CALÓRICA,80
FA PAROXISTICA,80
HEMATURIA,80
ENFERMEDAD RENAL CRÓNICA G3A,79
UPP SACRA,79
HIPERTIROIDISMO SUBCLÍNICO,79
FA RÁPIDA,78
DERRAME PLEURAL DERECHO,78
POLITRAUMATISMO,78
FA PAROXÍSTICA,77
DISFAGIA OROFARÍNGEA A SÓLIDOS Y LÍQUIDOS,76
PANCITOPENIA,76
DEMENCIA SEVERA,75
SEPSIS DE ORIGEN URINARIO,72
INSUFICIENCIA RESPIRATORIA GLOBAL CRÓNICA AGUDIZADA,72
DEMENCIA EVOLUCIONADA,72
DESHIDRATACIÓN,72
INSUFICIENCIA RENAL SEVERA,72
BRONCOASPIRACION,71
ALZHEIMER,70
ÉXITUS.,70
EPOC EXACERBADO,70
DEFICIT DE VITAMINA D,70
ANEMIA DE TRASTORNOS CRÓNICOS,70
DÉFICIT DE VITAMINA  D,70
DESNUTRICIÓN CALÓRICO-PROTEICA MODERADA,70
INSUFICIENCIA RESPIRATORIA SECUNDARIA,69
FRACTURA DE CADERA DERECHA,69
COXARTROSIS DCHA.,69
DETERIORO COGNITIVO CON ALTERACIONES CONDUCTUALES,69
SINDROME CONFUSIONAL AGUDO MIXTO,69
DIABETES MELLITUS NO CONTROLADA,68
DETERIORO COGNITIVO.,68
PARKINSON,68
EPILEPSIA,67
FIBRILACIÓN AURICULAR PAROXÍSTICA,66
ACCIDENTE LABORAL,66
NEGATIVA A LA INGESTA,65
DESNUTRICIÓN CALÓRICO-PROTEICA SEVERA,65
IRA,65
IRC AGUDIZADA,65
FA ANTICOAGULADA,64
ANEMIA N-N,64
DEMENCIA MIXTA,63
BRONCOASPIRACIÓN,63
STC DERECHO,63
I. RENAL CRONICA,63
HEMIPARESIA IZDA,63
INSUFICIENCIA RESPIRATORIA CRONICA AGUDIZADA,62
LUMBOCIATALGIA IZQUIERDA,62
SD. DE DESACONDICIONAMIENTO FISICO.,62
SÍNCOPE A ESTUDIO,62
SINCOPE,62
SUBOCLUSIÓN INTESTINAL,62
ANEMIA SEVERA,61
ENF. DE PARKINSON,61
SCA HIPOACTIVO,61
DÉFICIT DE VITAMINA B12,61
ESTREÑIMIENTO.,61
DIABETES MELLITUS DESCOMPENSADA,61
ROTURA MENISCO INTERNO RODILLA DERECHA,61
ENFERMEDAD CEREBRO-VASCULAR DE PEQUEÑO VASO,60
AGITACIÓN PSICOMOTRIZ,60
AGUDIZACIÓN ASMÁTICA,60
ALZHEIMER AVANZADO,59
DM TIPO 2 ID,59
INFECCIÓN TRACTO URINARIO A DESCARTAR,59
INSUFICIENCIA RESPIRATORIA AGUDA PARCIAL GRAVE,58
INSUFICIENCIA RESPIRATORIA GLOBAL CRÓNICA,57
E. ALZHEIMER,57
DIABETES MELLITUS TIPO 2,57
DIABETES,57
SD CONFUSIONAL,56
MANEJO PALIATIVO,56
EPOC SEVERO AGUDIZADO,56
I. RESPIRATORIA CRONICA AGUDIZADA,56
CRISIS COMICIAL,55
SOBREANTICOAGULACIÓN POR SINTROM,55
DETERIORO COGNITIVO LEVE,55
I. RESPIRATORIA,55
MUGET,55
ENCEFALOPATIA HEPATICA,55
FRACASO RENAL,55
PORTADORA DE MARCAPASOS,54
SÍNDROME CONFUSIONAL AGUDO HIPERACTIVO,54
PROBLEMATICA SOCIAL,54
FA LENTA,54
ANOREXIA,54
TROMBOPENIA,53
LUMBALGIA CRONICA,53
HEMIPARESIA DCHA,53
ANEMIA DE TRANSTORNOS CRONICOS,53
HIPOCOLESTEROLEMIA,53
HIPOGLUCEMIA,52
FIBRILACION AURICULAR CRONICA,52
HIPOTENSIÓN ARTERIAL,52
ANEMIA MACROCITICA,52
INSUFICIENCIA CARDÍACA AGUDA,52
NEUMONIA,52
ANEMIA MICROCITICA E HIPOCROMA,51
FALLO RENAL AGUDO,51
HIPERPOTASEMIA LEVE,51
DESCOMPENSACION DIABETICA,51
INSUFICIENCIA MITRAL MODERADA,50
ANEMIA MICROCÍTICA,50
ARTROSIS RODILLA DERECHA,50
ENFERMEDAD CEREBRO-VASCULAR CRÓNICA,50
INFECCION RESPIRATORIA DE VÍAS BAJAS,50
DIABETES TIPO II,50
PLAQUETOPENIA,50
TRATAMIENTO REHABILITADOR.,50
ICC LEVE,49
INSUFICIENCIA RENAL CRÓNICA REAGUDIZADA,49
DERRAME PLEURAL BILATERAL,49
ANEMIA NORMOCITICA,49
HIPOKALEMIA,49
DISFAGIA ORO-FARÍNGEA,49
I. CARDIACA 2º,49
HIPERGLUCEMIA NO CONOCIDA,49
OBESIDAD MORBIDA,48
ICC DESCOMPENSADA.,48
ITU COMPLICADA (E. COLI BLEE NEGATIVA),48
FA-AC,48
DM DESCOMPENSADA,48
POSIBLE INFECCIÓN RESPIRATORIA,48
DESHIDRATACIÓN GRADO II SIN TOLERANCIA ORAL,47
ACXFA CON RVR,47
ANEMIA MACROCÍTICA,47
DERRAME PLEURAL IZQUIERDO,47
MICOSIS ORAL,47
FIBRILACIÓN AURICULAR ANTICOAGULADA,47
NEUMONÍA BASAL IZQUIERDA,47
FRACTURA DE CADERA IZQUIERDA,47
UPP,47
SCA,47
DESCOMPENSACIÓN DIABÉTICA,46
OCLUSIÓN INTESTINAL SECUNDARIA A ESTREÑIMIENTO PERTINAZ,46
HIPONATREMIA SEVERA,46
ACV ISQUEMICO,46
DÉFICIT DE AC. FÓLICO,46
FIBROSIS PULMONAR,46
ENFERMEDAD DE ALZHEIMER AVANZADA,46
ENF DE PARKINSON,46
DESNUTRICIÓN PROTEICA,45
AGITACIÓN PSICOMOTRIZ NOCTURNA,45
HEMORRAGIA SUBARACNOIDEA,45
ANEMIA POST-INTERVENCIÓN,45
DEMENCIA VASCULAR PROBABLE,45
ITU NOSOCOMIAL,45
FRACASO MULTIORGANICO,45
PROBABLE ITU,45
POSIBLE INFECCION RESPIRATORIA,45
DEPRESION,45
FRACTURA DE PELVIS,45
ICTUS ISQUÉMICO,45
SEPSIS,45
INTOXICACIÓN DIGITÁLICA,45
TRATAMIENTO PALIATIVO,44
CELULITIS MII,44
ENFERMEDAD RENAL CRÓNICA 3A,44
INSUFICIENCIA RENAL AGUDA DE ORIGEN PRERRENAL,44
FRACTURA CADERA IZQUIERDA,44
DEMENCIA TIPO ALZHEIMER,44
ACXFA NO CONOCIDA,44
EPOC DESCOMPENSADO,43
FRACTURA CADERA DERECHA,43
INFECCIÓN RESPIRATORIA DE VÍAS BAJAS NO CONDENSANTE (BRONCOASPIRACIÓN),43
HIPOALBUMINEMIA,43
INFECCIÓN RESPIRATORIA DE VÍAS ALTAS,43
HIPERTIROIDISMO,42
CUADRO CONFUSIONAL,42
HSA,42
INFECCIÓN URINARIA POR E. COLI.,42
HALLUX VALGUS PIE DERECHO,42
TRAUMATISMO CRANEOENCEFALICO,42
INSUFICIENCIA RENAL PRERRENAL,42
"EPOC, AGUDIZACIÓN POR INFECCIÓN RESPIRATORIA",42
INFECCIÓN DE ORINA,42
ROTURA MENISCO INTERNO RODILLA IZQ.,41
FECALOMA,41
CELULITIS MID,41
NEUMONÍA DERECHA,41
COXARTROSIS IZQ.,41
PREVIAS DESCRITAS EN ANTECEDENTES,41
ACV ISQUÉMICO,41
FA DE NOVO,41
DETERIORO COGNITIVO AVANZADO,41
INFECCION RESPIRATORIA DE VÍAS INFERIORES,41
EVENTRACIÓN.,41
DEPRESIÓN,40
DM MAL CONTROLADA,40
ESTENOSIS AÓRTICA SEVERA,40
SINDROME CONFUSIONAL AGUDO HIPOACTIVO,40
SINDROME CONFUSIONAL AGUDO HIPERACTIVO,40
DISFAGIA SEVERA,40
SITUACION PALIATIVA,40
OBSTRUCCIÓN INTESTINAL CON ÍLEO PARALÍTICO,40
SINDROME DEPRESIVO,39
HIPOTIROIDISMO SUBCLÍNICO,39
CARCINOMATOSIS PERITONEAL,39
FLUTTER AURICULAR,39
ENFERMEDAD RENAL CRÓNICA 3B,39
ANEMIA SECUNDARIA,39
"EPOC SEVERA, AGUDIZACIÓN",39
FIBRILACION AURICULAR  ANTICOAGULADA,39
SÍNCOPE,38
SOBREDOSIFICACIÓN DE DICUMARÍNICOS,38
INSUFICIENCIA CARDÍACA CONGESTIVA,38
PROBABLE INFECCIÓN RESPIRATORIA,38
ALT. DE EQUILIBRIO Y MARCHA,38
COXARTROSIS DCHA,38
MAREO INESPECIFICO,37
NEUMONÍA BRONCOASPIRATIVA,37
ENF. DE ALZHEIMER,37
ACCIDENTE ISQUÉMICO TRANSITORIO,37
FIBRILACIÓN AURICULAR RÁPIDA,37
PREVIAS DESCRITAS EN SSU ANTECEDENTES,37
NEUMOCONIOSIS COMPLICADA,37
ENF. DE ALZHEIMER AVANZADA,37
INTOLERANCIA ORAL,37
ULCERA SACRA,37
FRACTURA SUBCAPITAL CADERA DERECHA,36
TRASTORNO DEPRESIVO,36
PREVIOS.,36
FA CRONICA,36
BRADICARDIA SINUSAL,36
HIPERTENSIÓN VENOSA CRÓNICA.,36
COLECISTITIS AGUDA,36
PROBABLE EPOC,36
COLITIS ISQUEMICA,36
ESQUIZOFRENIA,36
INSUFICIENCIA RESPIRATORIA AGUDA GLOBAL,36
INFECCION URINARIA POR E. COLI,36
DESHIDRATACIÓN HIPONATRÉMICA,36
HEMORRAGIA DIGESTIVA ALTA,36
ANEMIA MIXTA,36
DESNUTRICION,35
FA CON RV RÁPIDA,35
HIPERNATREMIA SEVERA,35
FIBRILACION AURICULAR PAROXISTICA,35
ARTROSIS RODILLA IZQ.,35
INSUFICIENCIA CARDIACA INCIPIENTE,35
ENF DE ALZHEIMER AVANZADA,35
TEP,35
LUMBOCIATALGIA A ESTUDIO,35
PROBABLE BRONCOASPIRACION,35
ICTUS,35
SEPSIS DE ORIGEN RESPIRATORIO,35
TEC LEVE,35
INSUFICIENCIA RESPIRATORIA PARCIAL HIPOXÉMICA,35
COLELITIASIS NO COMPLICADA,35
EPOC SEVERO,34
NEUMONÍA ADQUIRIDA EN LA COMUNIDAD LID,34
ENFERMEDAD RENAL CRONICA,34
ACV,34
FRACTURAS COSTALES,34
DELIRIUM HIPOACTIVO,34
VERTIGO PERIFERICO,34
HIPOREXIA,34
SD CONFUSIONAL AGUDO,33
MALNUTRICIÓN PROTEICA,33
FRACTURA DE CADERA IZQ,33
SCA HIPERACTIVO,33
INFECCIÓN URINARIA POR E. COLI,33
DIABETES ESTEROIDEA,33
FRACTURA DE CADERA DCH,33
RETENCIÓN AGUDA URINARIA,33
TEP BILATERAL,33
FRACTURA SUBCAPITAL DE CADERA IZQUIERDA,33
ANEMIA MODERADA,33
I. RESPIRATORIA CRONICA,33
INSUFICIENCIA RESPIRATORIA AGUDA SEVERA,33
SÍNDROME CONFUSIONAL,33
HIPERKALEMIA,33
ILEO PARALÍTICO NO OBSTRUCTIVO,33
SÍNDROME CONFUSIONAL SUBCLÍNICO,33
ITU?,33
INSUFICIENCIA RENAL AGUDA PRERRENAL,32
PSEUDOOCLUSIÓN INTESTINAL,32
SEPSIS ORIGEN URINARIO,32
LUMBALGIA CRÓNICA,32
DM-II NO CONTROLADA,32
TABAQUISMO ACTIVO,32
PROBABLE INFECCION RESPIRATORIA,32
SÍNDROME CONFUSIONAL AGUDO MIXTO,32
NEUMONIA BASAL IZQUIERDA,32
FRACASO MULTIORGÁNICO,32
SD DEPRESIVO,31
PSEUDO-OCLUSIÓN INTESTINAL SECUNDARIA A FECALOMA,31
INSUFICIENCIA RESPIRATORIA AGUDA GRAVE,31
ANEMIA MEGALOBLASTICA,31
INFECCIÓN RESPIRATORIA DE VÍAS INFERIORES GRAVE,31
HIPOTIROIDISMO CLÍNICO,31
ASMA BRONQUIAL PERSISTENTE,31
ILEO PARALÍTICO,31
INSUFICIENCIA RENAL AGUDIZADA,31
HTA MAL CONTROLADA,31
ALTERACIÓN HIDROELECTROLÍTICA: HIPONATREMIA,31
GONARTROSIS IZDA.,31
HIPOPROTEINEMIA.,31
HIPERTENSIÓN PULMONAR,31
RECTORRAGIA,31
FÍSTULA ANAL.,31
SOBREANTICOAGULACION CON SINTROM,30
ÍLEO PARALÍTICO NO OBSTRUCTIVO,30
AIT PROBABLE,30
SD TUNEL CARPIANO DERECHO,30
DESNUTRICIÓN CALORICO PROTEICA SEVERA,30
ITU RESUELTA,30
SD DIARREICO A ESTUDIO,30
POLICONTUSIONES.,30
INFECCIÓN DE ORINA.,30
FRACTURA SUBCAPITAL CADERA IZQUIERDA,30
NEUMONIA BILATERAL,30
STC IZQUIERDO,30
DETERIORO FUNCIONAL,30
E. PARKINSON,30
FRACASO RENAL AGUDO PRERENAL,30
RETENCIÓN URINARIA,30
FISURA ANAL.,29
COR PULMONALE,29
ACCIDENTE ISQUEMICO TRANSITORIO,29
HEMATOMA SUBDURAL,29
DESNUTRICIÓN CALÓRICO PROTEICA SEVERA,29
CARDIOPATÍA ISQUÉMICA TIPO IAM ANTIGUO,29
I. RESPIRATORIA PARCIAL,29
PROBABLE INFECCION URINARIA,29
INSUFICIENCIA RENAL REAGUDIZADA,29
HEMORRAGIA DIGESTIVA BAJA,29
SÍNDROME CONSTITUCIONAL,29
INSUFICIENCIA RESPIRATORIA MODERADA,29
NEUMONÍA DERECHA ADQUIRIDA EN LA COMUNIDAD,29
MALNUTRICIÓN CALÓRICO PROTEICA,29
O2 DOMICILIARIO,29
DM,29
EPOC AGUDIZADO POR INFECCIÓN RESPIRATORIA DE VÍAS INFERIORES,29
ASMA BRONQUIAL AGUDIZADA,29
CLAUDICACION FAMILIAR,29
ENFISEMA PULMONAR,29
ACIDOSIS RESPIRATORIA,29
ITU A REPETICION,29
SÍNDROME FEBRIL,28
STC IZDO.,28
ENFERMEDAD DE PARKINSON AVANZADA,28
SINDROME CONFUSIONAL AGUDO SECUNDARIO,28
SINCOPE VASOVAGAL,28
COXALGIA DERECHA,28
ITU POR E. FAECALIS,28
"EPOC TIPO ENFISEMA, AGUDIZACIÓN",28
COLECISTITIS AGUDA LITIASICA,28
DISFAGIA OROFARÍNGEA A SÓLIDOS Y LÍQUIDOS.,28
DL,28
DOLOR ABDOMINAL INESPECIFICO,28
IRA MICROASPIRATIVA,28
DESHIDRATACIÓN HIPERNATRÉMICA SEVERA,28
EXITUS  LAETALIS,28
ESTENOSIS AÓRTICA MODERADA,27
MCP,27
TEMBLOR ESENCIAL,27
ÍLEO PARALÍTICO,27
FRACTURA PERTROCANTEREA DERECHA,27
AR,27
- LOS PREVIOS,27
IRB,27
EPOC ENFISEMATOSO AGUDIZADO,27
TROMBECTOMIA MECANICA,27
INFECCIÓN RESPIRATORIA A DESCARTAR,27
HEMATOMA SUBDURAL AGUDO,27
LUMBALGIA MECANICA,27
INFECCIÓN RESPIRATORIA NO CONDENSANTE.,27
DEMENCIA MODERADA,27
SINDROME CONFUSIONAL HIPOACTIVO,27
ITU POR E. COLI BLEE,27
FAC,27
DETERIORO BASAL EN PACIENTE ONCOLOGICO,27
RETENCION URINARIA,26
DEFICIT DE VITAMINA  D,26
HIPERNATREMIA MODERADA,26
METASTASIS HEPATICAS,26
MALNUTRICIÓN CALÓRICO-PROTEICA,26
ACCIDENTE DE TRAFICO,26
TRAUMATISMO LUMBAR,26
HIPOACUSIA SEVERA,26
DETERIORO FUNCIONAL HOSPITALARIO,26
RETENCIÓN AGUDA DE ORINA SECUNDARIA,26
ARTROSIS DE RODILLA,26
LUMBALGIA A ESTUDIO,26
INSUFICIENCIA RESPIRATORIA AGUDA PARCIAL SEVERA,26
TRASTORNO ANSIOSO-DEPRESIVO,26
ABDOMINALGIA,26
SINDROME CONFUSIONAL SECUNDARIO,26
TRASTORNO DEPRESIVO REACTIVO,26
ACIDOSIS METABOLICA,26
INFECCIÓN RESPIRATORIA DE VÍAS BAJAS CON BRONCOSPASMO,26
INSUFICIENCIA CARDIACA CRÓNICA,26
CRISIS COMICIALES,25
FAC EN TTO CON SINTROM,25
TRAUMATISMO TORÁCICO,25
POLITRAUMATISMOS,25
ITU COMPLICADA (E. FAECALIS),25
STC DCHO.,25
HTP SEVERA,25
INSUFICIENCIA CARDÍACA CRÓNICA REAGUDIZADA,25
CUIDADOS PALIATIVOS,25
DETERIORO DEL ESTADO GENERAL,25
ATEROMATOSIS CAROTIDEA,25
HIPERTENSIÓN PULMONAR SEVERA,25
ENOLISMO CRONICO,25
SD FEBRIL,25
DESNUTRICIÓN PROTEICO-CALÓRICA.,25
ENFERMEDAD RENAL CRÓNICA G4,25
INSUFICIENCIA RENAL LEVE,25
INSUFICIENCIA RESPIRATORIA PARCIAL AGUDA SECUNDARIA,25
SEPSIS SECUNDARIA,25
DIABETES TIPO 2,25
ESTADO HIPEROSMOLAR NO CETÓSICO,25
SDR. DEPRESIVO,25
HIPOPOTASEMIA LEVE,25
INSUFICIENCIA CARDIACA CONGESTIVA AGUDA SOBRE CRÓNICA,25
ENFERMEDAD RENAL CRÓNICA ESTADIO IIIA,24
FRACTURA PERTROCANTÉRICA FÉMUR DERECHO,24
DETERIORO COGNITIVO A ESTUDIO,24
ANEMIA LEVE,24
DERRAME PLEURAL,24
DÉFICIT DE ÁCIDO FÓLICO.,24
PLURIPATOLOGÍA,24
DESNUTRICIÓN MODERADA,24
FRACTURAS COSTALES DERECHAS,24
POLIMIALGIA REUMÁTICA,24
NEUMONIA DERECHA,24
ESQUIZOFRENIA PARANOIDE,24
INSUFICIENCIA CARDIACA AGUDA,24
PIE DIABETICO,24
SÍNDROME CONFUSIONAL HIPOACTIVO,24
GLUCEMIA ANOMALA EN AYUNAS,24
DEFICIT DE  VITAMINA D,24
INFECCIÓN RESPIRATORIA DE VÍAS BAJAS POR SAMR,24
COLITIS ISQUÉMICA,24
VÉRTIGO PERIFÉRICO,24
ÚLCERAS POR DECÚBITO INFECTADAS,24
POSIBLE AIT,24
ANEMIA CRÓNICA,23
CANDIDIASIS  ORAL,23
LUMBOCIATALGIA AGUDA,23
FERROPENIA,23
INSUFICIENCIA CARDÍACA CRÓNICA,23
DEFICIT DE ÁCIDO FÓLICO,23
ENFERMEDAD RENAL CRÓNICA SEVERA,23
DIVERTICULOSIS COLÓNICA,23
GRIPE A,23
CANDIDIASIS OROFARINGEA,23
ESCLEROSIS MULTIPLE,23
ICTUS VERTEBROBASILAR,23
FRACTURA SUBCAPITAL DE CADERA DERECHA,23
EXITUS LETALIS.,23
INFECCION URINARIA  POR E. FAECALIS,23
SINCOPE A ESTUDIO,23
HIPONATREMIA RESUELTA,23
CARDIOPATÍA ISQUÉMICA CRÓNICA,23
DESHIDRATACIÓN GRADO II,23
MAL CONTROL ANALGESICO,23
ANASARCA,23
MAREO A ESTUDIO,23
TROMBOCITOPENIA,23
FRACTURA PERTROCANTÉREA CADERA DERECHA,23
ANEMIA MODERADA N-N,23
FRACTURA PERTROCANTEREA IZQUIERDA,23
ADENOCARCINOMA DE PROSTATA,23
DOLOR ABDOMINAL EN ESTUDIO,23
ATEROMATOSIS CAROTÍDEA,23
NEUMONÍA ASPIRATIVA,22
METATARSALGIA,22
BICITOPENIA,22
INSOMNIO,22
CARDIOPATIA HIPERTENSIVA,22
INFECCIÓN DEL TRACTO URINARIO POR E. COLI,22
DEMENCIA CON ALT. PSICO-CONDUCTUALES,22
IC,22
BRONQUIECTASIAS INFECTADAS,22
HALLUX VALGUS PIE IZQ.,22
